id_no,state,id,year,enf_task_force_287g,enf_warrant_287g,enf_jail_287g,enf_secure_comms,enf_lim_coop_detainers,enf_everify,enf_limits_everify,enf_state_omnibus,pub_tanf_post5,pub_cashass_during5,pub_foodass_lprkids,pub_foodass_lpradults,pub_ssi_replacement,pub_medicaid_lprkids,pub_pubins_unauthkids,pub_pubins_lpradults,pub_pubins_unauthadult,pub_medicaid_lprpreg,pub_medicaid_unauthpreg,pub_medicaid_lpr_post5,int_instate_tuition,int_state_finaid,int_uni_ban,int_official_eng,int_drivers_license
5,California,CA,2013,0,0,.5,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
5,California,CA,2014,0,0,.5,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
5,California,CA,2015,0,0,.5,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1
5,California,CA,2016,0,0,.5,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
5,California,CA,2017,0,0,.5,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
5,California,CA,2018,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
5,California,CA,2019,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
6,Colorado,CO,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2003,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2004,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2005,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2006,0,0,0,0,0,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2007,1,0,0,0,0,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2008,1,0,0,0,0,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2009,1,0,0,0,0,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2010,1,0,0,0,0,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2011,1,0,0,1,0,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2012,1,0,0,1,0,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
6,Colorado,CO,2013,0,0,0,1,0,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
6,Colorado,CO,2014,0,0,0,1,1,.5,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1
6,Colorado,CO,2015,0,0,0,0,1,.5,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1
6,Colorado,CO,2016,0,0,0,0,1,.5,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1
6,Colorado,CO,2017,0,0,0,1,.5,.5,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1
6,Colorado,CO,2018,0,0,0,1,.5,.5,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1
6,Colorado,CO,2019,0,0,0,1,1,.5,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1
7,Connecticut,CT,2000,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2001,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2002,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2003,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2004,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2005,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2006,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2007,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2008,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2009,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2010,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
7,Connecticut,CT,2011,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
7,Connecticut,CT,2012,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
7,Connecticut,CT,2013,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1
7,Connecticut,CT,2014,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1
7,Connecticut,CT,2015,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1
7,Connecticut,CT,2016,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1
7,Connecticut,CT,2017,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1
7,Connecticut,CT,2018,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1
7,Connecticut,CT,2019,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1
8,Delaware,DE,2000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
8,Delaware,DE,2001,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
8,Delaware,DE,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
8,Delaware,DE,2003,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
8,Delaware,DE,2004,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
8,Delaware,DE,2005,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
8,Delaware,DE,2006,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
8,Delaware,DE,2007,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
